class,group,theme,title,description
A,2,産業,伊勢原市商店街の活性化について,「活気ある商店街や仕事のあるまちづくりをするにはどうしたら良いか」という小テーマから、空き店舗を利用して商店街に訪れる人を増やしたら良いと考えています。そのためインタビューやインターネットで提案の根拠を集めています。
A,4,自然観光,伊勢原の自然を生かして観光客を増やす方法。,"伊勢原市の観光客数を増えることにより、観光客がお土産を買うことで伊勢原市の財源が増える。
なので、観光客を増やそうと思った。
そして、観光客を増やすためのアイデアを出すため、伊勢原市の自然を生かしたとうろう祭りがあることを知った。"
A,5,大山詣り,大山詣りの文化を生かしたまちづくり,"大山詣りの文化（江戸時代の宣伝の仕方など）をインタビューで内海さんに聞き
各班の質問に対する内海さんの回答も役立てながら伊勢原を活気づけるまちづくりの
提案をインタビュー内容を活かしていきつつ探求の知識などを成長させていくと
言うのが今回の探求の授業の趣旨だと思います"
A,6,太田道灌,太田道灌と伊勢原市,"僕たちは太田道灌の生涯を知り、まちづくりに活かせるような太田道灌の功績や
共通点を探り、首都圏や地方の人ｎにも太田道灌について、多くの観光客にもっと
知ってもらい、伊勢原市を魅力のある街にしたいです。"
C,1,環境①,伊勢原の未来を変える今の環境活動,私達は、伊勢原の環境について調べています。伊勢原の未来をより良くするために、今の現状を知り、どのような活動をしているのかを知りたいと思います。また、他の市の活動も参考にしたりし、より良い街づくりを提案したいです。
C,2,産業,受け継ぐ　〜伊勢原の産業〜,伊勢原市の産業について深掘りした。伊勢原市としての取り組み、強みや将来性を調査し、インタビューや個人の調べをもとにポスターをまとめた。伊勢原市にある学校に通う私たちには知っておきたい情報がたくさん詰まっている。
C,4,自然観光,伊勢原観光業界の発展策,伊勢原の観光客を呼び込むだけでなく、一度伊勢原に来てもらった観光客がまた伊勢原に来てほしいと思ってもらえるような伊勢原の観光名所の発展方法を伊勢原の観光名所の認知度や全国の観光名所の発展方法、観光客の増加による負の面の改善策を元に考案する。
C,6,太田道灌,太田道灌と共に街の魅力を伝えるために！,太田道灌などについて詳しい方に太田道灌についてインタビューしたり、ネットを使って太田道灌がどんな人であるのかや歴史人物などを活用して街の魅力を伝えられた実例などを調べたりして伊勢原市の魅力を太田道灌を活用して伝えることを計画する。
C,1,環境,環境をInnovation,現在の伊勢原市は社会的な問題である環境問題への、個人での意識が足りていないことを問題視することが一番の要点だと思います。なので私はこの探究を通じて、一人ひとりの意識改革が大切だということを提案します。
D,5,大山詣り⑤,若い人から高齢者までそれぞれ楽しめる大山詣りを知ってもらうには,大山詣りを若い人から高齢者の方たちに知ってもらうにはどうするか、楽しんでもらうにはどうしたら良いかということを調査結果をもとに考える。
A,1,環境,カーボンニュートラルを積極的に実行するためには,カーボンニュートラルについて知っている人は多いけれど、積極的に実行している人は少ないという結果と、若年層では約六割が知らないという結果が出ている事が分かった為、市民が積極的にカーボンニュートラルを推進できる街にしていきたい。
D,6,太田道灌の偉業,Way of life,太田道灌が生きている間に残していったものや伝説などをまとめていってそれを紹介すると同時に家族の関係など関わっているものなど、戦国時代だったということも踏まえてどのように言われていたのかを明確にしていきたいです。
C,5,大山詣り,大山詣りを盛んにするにはどうしたらいいのか,大山詣りは相模国にある大山石尊大権現で、博打と商売にご利益があるため江戸時代には大勢の江戸っ子たちが参詣しに押しかけた。大山詣りの観光客を増やすためにイベント等を行っている。
B,5,大山詣り,家族連れや若い観光客などもっと増やすためには,わたしたちは大山詣りについて調べていて、家族連れや若い観光客、外国人観光客などに大山詣りや大山の魅力を知ってもらうために人気スポットやイベントを調べて、考えました。宿坊かげゆの方にインタビューをして、インターネットでも調べながら考えました。
B,3,農業が維持され、新鮮な農畜産物が食べられるまちづくりをするにはどうしたら良いか,後継者が絶えずにのうぎょうをつずけるには。,私達は、農業従事者の方々が、高齢の方が多く、若い方が減っていることが、将来の日本の農業が途絶えてしまうと考え、どうすれば若い方が農業という職業に興味をもったり、なりたい！と考えてもらえるかを調べようと思っている。
A,3,農業,伊勢原の農家,現在は伊勢原に限らず、日本の人口は増加している一方で、農家の数が減り続けています。どうにかして農家を増やすために「農業体験」に目をつけました。農業に対して興味や関心、楽しさを知ってもらえば、農家を増やせるのではないかと考えました。
D,1,地球に優しい環境のまちづくりをするにはどうすればいいか？,SDGs達成に向けて伊勢原市が取り組むべき課題,"伊勢原の環境ついてインタビュー結果や、他国の取り組みの例や、インタネットに書かれたなどをもとにして伊勢原の環境について深く探究している。
例えば私達、1人1人にできる環境の取り組みについてや、SDGs　取り組み実績1位のフィンランドの対策について、探究しています。"
B,2,産業,活気あるまちづくりをするにはどうすればよいか,"僕達はより多くの人に仕事を与えるために色々なことを考え発案したり伊勢原で有名なもの（食べ物、コマなど）を色んな人に知ってもらうために活動しています。
僕達はいろんなことを発案するには知識がないといけないと思うのでインタビューをしたりインターネットでしらべたりし、ポスターを作っています。"
B,6,太田道灌,太田道灌の歴史を生かした魅力あるまちづくり。,伊勢原市を活性化させるには、市内に観光客を増やすことが必要だと考えました。
D,4,自然観光,観光客の増加,大山などの自然や大山ゴマなどの伝統に関するコマ回し大会といったイベントや様々な伊勢原の観光地をまわったり、体験したりした観光客が「楽しかった」などという気持ちになり、また来たいと思い、伊勢原の観光客が絶えなくなるようにするまちづくりにするための探究をする。
C,3,農業が維持され、新鮮な農畜産物が食べられるまちづくりをするにはどうしたら良いか,農業の発展を実現させるために,インタビューによって若くて優秀な人材や技術革新が必要と言われ、どのようにしたらそのように願いが叶うのか考える内容になっており、たとえば他の農業ではどのような工夫をしているのか調べて比較したりしてグラフにまとめたりすることです。
B,6,太田道灌,太田道灌の歴史を生かした魅力あるまちづくり,伊勢原を活性化させ、まちづくりをするためには他の町や、他の県の観光客を増やすことが大事だと考えました。伊勢原市などには太田道灌のお墓など太田道灌にまつわる様々な場所があり、それらを全国的に知ってもらう必要があると考えました。
D,3,農業③,農業が安定すること,"農業が安定するためにはまず、新鮮な農産物や安定した農産物の収穫が必要です。
まず、新鮮な農産物はインタビューにより化学肥料を使わないことが良いことがわかりました。次に農産物の収穫はインタビューではやってないが、調べると安定した収入が得られる事がわかった。"
B,1,環境,カーボンニュートラルの実現に向けて,伊勢原市の温室効果ガスの排出量を減らし、緑あふれるまちづくりを目指していくために自分達の班では、二酸化炭素の排出量削減のために今企業が取り組んでいる事や、家庭内で出来ることなどをタブレットで調べています。
D,5,大山詣り,若い人から高齢者までそれぞれ楽しめる大山詣りを知ってもらうには,色々な世代の人に広める方法や大山詣りの魅力や小さい子から、高齢者まで大山詣りを楽しむにはどうするのかなどをインターネット、インタビュー、文献を調べたり、自修館生、保護者の方にアンケートを取りその結果をもとに探究のタイトルをもとにまとめる。
C,5,大山詣りを盛んにするにはどうしたらよいのか,大山詣り,"大山詣りは相模国にある大山石尊大権現で博打と商売にご利益があるため江戸時代には大勢の江戸っ子が参詣に押し掛けた。大山詣りの観光客を増やすために今ではイベント等をしている。東京から大山,富士山を見ることができる。"
D,1,地球に優しい環境のまちづくりをするためにはどうしたらいいか？,SDGs達成に向けて伊勢原市が取り組むべき課題,伊勢原の環境についてインタビュー結果や、他国の取り組みの例、インターネットのサイトを元にしてポスターに工夫したり省略したりして書き、班のテーマである「地球に優しい環境のまちづくりをするためにはどうしたらいいか？」にそって探究しています。
D,3,産業,伊勢原の商店街と特産品,伊勢原の商店街を守り、もっと盛り上げていくためにどうすればよいかを、伊勢原の特産品に注目して考えてみた。伊勢原の特産品について市内外からの意見をインターネットや取材で集め、それらと商店街とのつながりをまとめ、商店街に必要だと思われることを上げた。
B,4,美しい自然を広める,自然観光,より多くの人に伊勢原に自然を知ってもらうため、まず、インタビューで伊勢原の自然に関することを聞き、他にもインターネットで調べてなにかの情報を伊勢原市の自然を広めるためにポスターを作る
